id;name;producer;nation;local1;varieties1;type;abv;degree;price;year;ml
137197;Altair;Altair;Chile;Rapel Valley;Cabernet Sauvignon;Red;14~15;17~19;1166;2014;750
137198;Altair, Sideral;Altair;Chile;Rapel Valley;Cabernet Sauvignon;Red;14~15;16~18;583;2016;750
137199;Baron du Val Red;Baron du Val;France;;Carignan;Red;11~12;15~17;0;0;750
137200;Baron du Val White;Baron du Val;France;;Carignan;White;11~12;9~11;0;0;750
137201;Benziger, Cabernet Sauvignon;Benziger;USA;California;Cabernet Sauvignon;Red;13~14;17~19;0;2003;750
137202;Calvet, Beaujolais Villages;Calvet;France;Bourgogne;Gamay;Red;12;13~15;0;2007;750
137203;Calvet, Aetos;Calvet;France;Bordeaux;Merlot;Red;13;17~19;0;2003;750
137204;Calvet, Bordeaux Red;Calvet;France;Bordeaux;Merlot;Red;13~14;16~18;111,3;2011;750
137205;Calvet, Bordeaux white;Calvet;France;Bordeaux;Sauvignon blanc;White;11.5;9~11;111,3;2010;750
137207;Calvet, Varietals Cabernet Sauvignon;Calvet;France;Southern France;Cabernet Sauvignon;Red;13~14;16~18;100,7;2017;750
137208;Calvet, Varietals Merlot;Calvet;France;Southern France;Merlot;Red;13~14;16~18;100,7;2011;750
137209;Calvet, Reserve Bordeaux white;Calvet;France;Bordeaux;Sauvignon blanc;White;11.5;9~11;148,4;2011;750
137210;Calvet, Premieres Cotes de Bordeaux;Calvet;France;Bordeaux;Semillon;White;13;10~12;95,4;2009;750
137211;Calvet, Margaux;Calvet;France;Bordeaux;Cabernet Sauvignon;Red;12.5;17~19;0;2004;750
137212;Calvet, Medoc;Calvet;France;Bordeaux;Cabernet Sauvignon;Red;12~13;16~18;169,6;2015;750
137214;Calvet, Saint Emilion;Calvet;France;Bordeaux;Merlot;Red;12~13;16~18;222,6;2010;750
137217;Tavernello Rosato Frizzante;Caviro scaForli;Italy;EmiliaRomagna;Lambrusco;Rose;11;10~12;47,7;0;750
137218;Tavernello Bianco Fizzante;Caviro scaForli;Italy;EmiliaRomagna;Etc;White;11;10~12;47,7;0;750
137222;La Carillon de l'Angelus;Chateau Angelus 1st Grand Cru ClasseA;France;Bordeaux;Merlot;Red;13.5;16~18;1325;2017;750
137224;Chateau Brillette;Chateau Brillette;France;Bordeaux;Merlot;Red;13~14;16~18;450,5;2013;750
137225;Le Bailly de Camensac;Chateau Camensac Grand Cru Classe5th Cru;France;Bordeaux;Cabernet Sauvignon;Red;13~14;16~18;265;2006;750
137226;L'oratoire de Chasse Spleen;Chateau Chasse Spleen;France;Bordeaux;Cabernet Sauvignon;Red;12.5~13.5;16~18;265;2017;750
137230;Chateau de Seguin Cuvee Prestige;Chateau de Seguin;France;Bordeaux;Cabernet Sauvignon;Red;13;16~18;0;2010;750
137231;Chateau de Seguin;Chateau de Seguin;France;Bordeaux;Cabernet Sauvignon;Red;13;16~18;0;2010;750
